Timestamp,Linear Velocity,Angular Velocity,Right Wheel Vel,Left Wheel Vel
1743029506.2245538,0.0,0.0,0.0,0.0
1743029506.2422392,0.0,0.0,0.0,0.0
1743029506.2573857,0.0,0.0,0.0,0.0
1743029506.2925456,0.0,0.0,0.0,0.0
1743029506.30665,0.0,0.0,0.0,0.0
1743029506.3251097,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.3465931,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.3646026,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.37725,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.3967168,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.4215322,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.430896,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.4459825,0.1,0.0,4.878048780487805,4.878048780487805
1743029506.4724605,0.1,0.0,4.878048780487805,4.878048780487805
